Geschäftsnummer,Geschäftstyp,Urheber,Stand,Geschäftstitel,Link zur Geschäftsseite,eingereicht_am,unterzeichner1,unterzeichner2,unterzeichner3,unterzeichner4,unterzeichner5,unterzeichner6,unterzeichner7,unterzeichner8,unterzeichner9,unterzeichner10,unterzeichner11,unterzeichner12,unterzeichner13,unterzeichner14,unterzeichner15,unterzeichner16,unterzeichner17,unterzeichner18,unterzeichner19,unterzeichner20,unterzeichner21,unterzeichner22,unterzeichner23,unterzeichner24,unterzeichner25,unterzeichner26,unterzeichner27,unterzeichner28,unterzeichner29,unterzeichner30,unterzeichner31,unterzeichner32,unterzeichner33,unterzeichner34,unterzeichner35,unterzeichner36,unterzeichner37,unterzeichner38,unterzeichner39,unterzeichner40,unterzeichner41,unterzeichner42,unterzeichner43,unterzeichner44,unterzeichner45,unterzeichner46,unterzeichner47,unterzeichner48,unterzeichner49,unterzeichner50,unterzeichner51,unterzeichner52,unterzeichner53,unterzeichner54,unterzeichner55,unterzeichner56,unterzeichner57,unterzeichner58,unterzeichner59,unterzeichner60,unterzeichner61,unterzeichner62,unterzeichner63,unterzeichner64,unterzeichner65,unterzeichner66,unterzeichner67,unterzeichner68,unterzeichner69,unterzeichner70,unterzeichner71,unterzeichner72,unterzeichner73,unterzeichner74,unterzeichner75,unterzeichner76,unterzeichner77,unterzeichner78,unterzeichner79,id_Urheber,id_unterzeichner1,id_unterzeichner2,id_unterzeichner3,id_unterzeichner4,id_unterzeichner5,id_unterzeichner6,id_unterzeichner7,id_unterzeichner8,id_unterzeichner9,id_unterzeichner10,id_unterzeichner11,id_unterzeichner12,id_unterzeichner13,id_unterzeichner14,id_unterzeichner15,id_unterzeichner16,id_unterzeichner17,id_unterzeichner18,id_unterzeichner19,id_unterzeichner20,id_unterzeichner21,id_unterzeichner22,id_unterzeichner23,id_unterzeichner24,id_unterzeichner25,id_unterzeichner26,id_unterzeichner27,id_unterzeichner28,id_unterzeichner29,id_unterzeichner30,id_unterzeichner31,id_unterzeichner32,id_unterzeichner33,id_unterzeichner34,id_unterzeichner35,id_unterzeichner36,id_unterzeichner37,id_unterzeichner38,id_unterzeichner39,id_unterzeichner40,id_unterzeichner41,id_unterzeichner42,id_unterzeichner43,id_unterzeichner44,id_unterzeichner45,id_unterzeichner46,unterzeichner_ids
25.3924,Postulat,Candan Hasan,Eingereicht,Feldhase und Feldlerche - Ikonen der Kulturlandschaft erhalten und fördern,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253924,2025-06-20,Candan Hasan,Alijaj Islam,Arslan Sibel,Bally Maya,Barandun Nicole,Baumann Kilian,Bendahan Samuel,Brenzikofer Florence,Calame Didier,Candinas Martin,Chollet Clarence,Clivaz Christophe,de Courten Thomas,De Ventura Linda,Flach Beat,Friedl Claudia,Giacometti Anna,Grossen Jürg,Hess Lorenz,Kaufmann Pius,Knutti Thomas,Mahaim Raphaël,Meier Andreas,Pfister Gerhard,Porchet Léonore,Prelicz-Huber Katharina,Pult Jon,Rechsteiner Thomas,Roduit Benjamin,Rosenwasser Anna,Roth David,Schaffner Barbara,Schläfli Nina,Schlatter Marionna,Schmezer Ueli,Schneider Meret,Seiler Graf Priska,Storni Bruno,Töngi Michael,Tschopp Jean,Tuosto Brenda,Walder Nicolas,Weichelt Manuela,Zybach Ursula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449,449,443,264,NA,NA,358,323,424,468,65,NA,383,6,499,83,89,374,106,11,478,452,433,439,166,410,411,378,414,331,447,484,418,487,349,501,350,304,420,334,459,494,422,386,457,NA,NA,
25.3871,Postulat,Suter Gabriela,Eingereicht,Alle Energiespeicher in den neuen Energieperspektiven berücksichtigen,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253871,2025-06-20,Suter Gabriela,Christ Katja,de Quattro Jacqueline,Flach Beat,Grossen Jürg,Jauslin Matthias Samuel,Pult Jon,Schaffner Barbara,Schlatter Marionna,Storni Bruno,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370,370,369,392,83,106,314,378,418,349,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
25.3826,Postulat,Schneider Meret,Eingereicht,Zielerreichung des Aktionsplans Foodwaste - mehr krumme Rüebli und Gurken!,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253826,2025-06-20,Schneider Meret,Arslan Sibel,Bally Maya,Baumann Kilian,Bläsi Thomas,Brenzikofer Florence,Brizzi Simona,Candan Hasan,Clivaz Christophe,Crottaz Brigitte,De Ventura Linda,Fehlmann Rielle Laurence,Fehr Düsel Nina,Friedl Claudia,Gafner Andreas,Giacometti Anna,Glättli Balthasar,Grossen Jürg,Jauslin Matthias Samuel,Maitre Vincent,Nantermod Philippe,Porchet Léonore,Prelicz-Huber Katharina,Quadri Lorenzo,Reimann Lukas,Roduit Benjamin,Rosenwasser Anna,Rüegsegger Hans Jörg,Schläfli Nina,Schlatter Marionna,Schmezer Ueli,Seiler Graf Priska,Sormanni Daniel,Stadler Simon,Steinemann Barbara,Suter Gabriela,Töngi Michael,Walder Nicolas,Weichelt Manuela,Wismer-Felder Priska,Zybach Ursula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,350,264,NA,358,NA,424,NA,449,383,330,499,280,448,89,376,374,98,106,314,NA,297,410,411,170,172,331,447,485,487,349,501,304,490,419,306,370,334,422,386,363,457,NA,NA,NA,NA,NA,
25.3494,Postulat,Zybach Ursula,Stellungnahme zum Vorstoss liegt vor,"Bericht mit Ursachenanalyse und konkreten Massnahmen, um die zu hohe Sterberate von Schafen zu reduzieren",https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253494,2025-05-07,Zybach Ursula,Candan Hasan,Wermuth Cédric,Wettstein Felix,Zryd Andrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,457,457,449,211,354,498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
25.3489,Postulat,Wandfluh Ernst,Eingereicht,Naturgefahren: Kriterien für eine differenzierte Nutzung von Gefahrengebieten,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253489,2025-05-07,Wandfluh Ernst,Badertscher Christine,Bühler Manfred,Candinas Martin,de Quattro Jacqueline,Durrer Regina,Egger Mike,Gafner Andreas,Graber Michael,Grossen Jürg,Guggisberg Lars,Gysin Greta,Huber Alois,Kaufmann Pius,Nussbaumer Eric,Pult Jon,Riem Katja,Ritter Markus,Rüegger Monika,Rüegsegger Hans Jörg,Schmezer Ueli,Stadler Simon,Stämpfli Fabienne,Trede Aline,Vontobel Erich,Wandfluh Ernst,Wismer-Felder Priska,Zryd Andrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453,453,355,271,65,392,471,341,376,427,106,391,396,425,478,161,378,444,178,379,485,501,419,502,198,496,453,363,498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
25.3198,Postulat,Marti Min Li,Stellungnahme zum Vorstoss liegt vor,Nachhaltigkeit von künstlicher Intelligenz. Grosser Handlungsbedarf vorhanden,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20253198,2025-03-20,Marti Min Li,Alijaj Islam,Andrey Gerhard,Candan Hasan,Crottaz Brigitte,De Ventura Linda,Friedl Claudia,Meyer Mattea,Rosenwasser Anna,Roth David,Rumy Farah,Schläfli Nina,Schmezer Ueli,Seiler Graf Priska,Tschopp Jean,Wermuth Cédric,Widmer Céline,Wyss Sarah,Zryd Andrea,Zybach Ursula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293,293,443,371,449,330,499,89,296,447,484,486,487,501,304,459,211,NA,NA,498,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4674,Postulat,Schneider Meret,Stellungnahme zum Vorstoss liegt vor,Sicherstellung der Tierrettung in den Kantonen,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244674,2024-12-20,Schneider Meret,Aebischer Matthias,Arslan Sibel,Brenzikofer Florence,Candan Hasan,Clivaz Christophe,Fehlmann Rielle Laurence,Fivaz Fabien,Flach Beat,Giacometti Anna,Glättli Balthasar,Kälin Irène,Klopfenstein Broggini Delphine,Mahaim Raphaël,Porchet Léonore,Prelicz-Huber Katharina,Rosenwasser Anna,Ryser Franziska,Schläfli Nina,Schlatter Marionna,Seiler Graf Priska,Suter Gabriela,Töngi Michael,Trede Aline,Vontobel Erich,Walder Nicolas,Weichelt Manuela,Wettstein Felix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,350,NA,264,424,449,383,280,395,83,374,98,329,403,433,410,411,447,346,487,349,304,370,334,198,496,422,386,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4654,Postulat,Ryser Franziska,Stellungnahme zum Vorstoss liegt vor,Mobilitätsstrategie zur Förderung von Carpooling auf Nationalstrassen,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244654,2024-12-20,Ryser Franziska,Brenzikofer Florence,Flach Beat,Friedl Claudia,Klopfenstein Broggini Delphine,Pult Jon,Schaffner Barbara,Schlatter Marionna,Töngi Michael,Trede Aline,Tuosto Brenda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346,346,424,83,89,403,378,418,349,334,198,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4652,Postulat,Ryser Franziska,Stellungnahme zum Vorstoss liegt vor,Moderne und innovative Wirtschaftspolitik jenseits von Wachstum,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244652,2024-12-20,Ryser Franziska,Candan Hasan,Glättli Balthasar,Masshardt Nadine,Schlatter Marionna,Trede Aline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346,346,449,98,144,349,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24.4524,Postulat,Stadler Simon,Stellungnahme zum Vorstoss liegt vor,Antibiotika. Versorgungssicherheit gefährdet?,https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20244524,2024-12-19,Stadler Simon,Bally Maya,Balmer Bettina,Barandun Nicole,Blunschy Dominik,Durrer Regina,Hess Lorenz,Kaufmann Pius,Lohr Christian,Mettler Melanie,Müller-Altermatt Stefan,Rechsteiner Thomas,Roduit Benjamin,Roth David,Thalmann-Bieri Vroni,Wismer-Felder Priska,Wyssmann Rémy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,419,419,NA,NA,NA,445,471,11,478,14,NA,153,414,331,484,NA,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
